Profile_Name,Rating_Star,Headings,Base_Reviews,category
Geraldine Whittle,3.0 out of 5 stars,Frustrating,Really easy to set up however I could only get either sound or picture not both together so it didnÃ¢â¬â¢t work for me mirroring a video.,issue
Nancy S,1.0 out of 5 stars,Unimpressed,Came with new fire. Google docs is better.,feature
Dickinson.,4.0 out of 5 stars,"A good app, But...","While it's easy to use and user-friendly, it tends to crash frequently Ã°Å¸Â¤â. SO, make certain that you SAVE your work everytime you make any changes! The cost to purchase the full version is very reasonable, although, right now, outside my budget Ã°Å¸ËÂ¥!It definitely beats Microsoft Office's Free version! Much easier to use with the menus' organization and configuration. Basically, I LOVE this application Ã°Å¸ââ Ã°Å¸ââ Ã°Å¸âï¿½!!",user_experience
Kindle Customer,1.0 out of 5 stars,please fix,Once I updated it will no longer let me video call. There is no picture on either end I can't receive video or send video. Please fix it.,issue
todd domini,1.0 out of 5 stars,Full of ads,Terrible app full of ads.,issue
Peter,2.0 out of 5 stars,Kept having to restart the broadcast,"It was easy to use, but we played a few games of PictionaryAir using the app and it kept freezing, kept having to re connect and start the broad cast again",issue
PHYLLIS E. ERSERY,1.0 out of 5 stars,PLEASE REPAIRE MY SKYPE,CANNOT GET ON SKYPE WILL NOT WORK PROPERLYI HAVE SKYE ON MY COMPUTOR WORKS FINE BUT NOT ON MY KINDLE HOW DO I SOLVE THOS PROBLEM THIS APP CAME PRELOADED WHAT DO I DO TO MAKE IT WORK HAVE SKYPE # EMAIL  PASS WORD EVERY THING YOUNEED FOR FOR SKYPE WHEN I SIGN IN THE SPINNING CIRCLE JUST TURNS,issue
Lynn W. Orser,1.0 out of 5 stars,how to cancel fubo,"Haven't turned it own and ordered it by mistake,  Need to cancel before we are charged",feature
Troy Eugene Yoho,1.0 out of 5 stars,DoesnÃ¢â¬â¢t really work anymore,I liked when it worked,other_information
Carl S.,1.0 out of 5 stars,Not entirely free,"I did not expect to get billed nearly $5 for using the photo print option--which I opted not to take.  Fortunately, the app was easily uninstalled.",feature
Bernadette Lytwyn,4.0 out of 5 stars,Four Stars,it works fine,other_information
Janice Picking,1.0 out of 5 stars,No good for Kindle HD 10,Works on Android only. Will operate on Kindle HD 10.Deleted the app,feature
GEM,2.0 out of 5 stars,Two Stars,I found it useless and deleted it.,feature
cfisch,1.0 out of 5 stars,One Star,Never worked on my phone ,issue
Shadericka,5.0 out of 5 stars,Good app,Great app to watch the live games,user_experience
Jeff T,3.0 out of 5 stars,really?,"I get it, we have to watch the commercial, BUT there is no reason to block fast forward and reverse of the content",issue
Sydney D,1.0 out of 5 stars,Does not work,"Will not connect to any of our devices, don't waste your time",feature
Wilko,1.0 out of 5 stars,No Bueno,Would not sync for me. Deleted as quickly as added.,feature
rafael garcia,5.0 out of 5 stars,Free app yes I will.,Nice app and free,other_information
GamerBoy,5.0 out of 5 stars,skype,I like but it doesn't let me answer calls please fix it,issue
Jose Jimenez,5.0 out of 5 stars,"Very easy, and no problem watching what I paid for.","Very easy, and no problem watching what I paid for.",user_experience
Steven M jr,4.0 out of 5 stars,Thumbs up,Worked great but not 100%sure but my girlfriend didn't have any complaints,other_information
Kindle Customer com8,1.0 out of 5 stars,DON'T USE!,Don't Down Load! Doesn't print unless you check with up with what they want! I don't want to be forced to do that! Always trying to get you to pay for high priced one!,issue
Galley,5.0 out of 5 stars,Great app.,Been trying to find a good app to print from phone and tablet.  Works great.,user_experience
Russell A.,1.0 out of 5 stars,Appalling you have yo,Rubbish,user_experience
louis the vampire,1.0 out of 5 stars,Translate review to English,deleted,feature
Linda Em,2.0 out of 5 stars,XL'd this. Could not access it.,XL'd this.  Could not access it.,issue
Mariela,1.0 out of 5 stars,Report abuse,deleted,feature
Ashley F.,5.0 out of 5 stars,Nope,Did not like. Deleted right away. Waste of time.,feature
djjamming,3.0 out of 5 stars,Three Stars,Didn't carry what I wanted to watch.,user_experience
Susan Ottinger,3.0 out of 5 stars,good servise But the controls would not work on my ...,Chrome cast delivers .= a good serviseBut the controls would not work on my Kindle :(It works on my husbands phone,issue
Kindle Customer,5.0 out of 5 stars,Good deal,"This app will scan your device for free to advise you of any issues.  There will always be one or two people who neglect to read and then be distressed that, gasp..., they need to pay for a service.  My kindle has been working better since the purchase of this app.  So, money well spent as it is used more than most appliances in my home.",user_experience
Free,1.0 out of 5 stars,Not good at all,This is really bad because it wouldn't let me see my recording and it always goes away when I click it!!,issue
Ana silva,1.0 out of 5 stars,High price!,I really like myles product's but I'm really disappointed with this price.,other_information
Amazon Customer,3.0 out of 5 stars,Not free printing,Sure it works great as recommended but what I really needed to do was print and it won't let you do that without paying for it.,other_information
D.L12Amazon Customer,3.0 out of 5 stars,Ok,Ok. Had an app like this in the past but it was free.,other_information
Emily,5.0 out of 5 stars,i,I think it is good,other_information
D. Lagoda,1.0 out of 5 stars,Sketch Guru,Not at all what I thought. I wanted to use this to learn to draw. Not going to happen. I will be deleting this one.,feature
Cris,5.0 out of 5 stars,Good,Good,other_information
Ronald Bice,2.0 out of 5 stars,NBC Sports gave me a chance to watch part of ...,"NBC Sports gave me a chance to watch part of the game, but in the end, I turned it off at halftime, because of the lagging. So, two stars for access but zero for having to turn off.",issue
WLE,5.0 out of 5 stars,Five Stars,I listen to TED talks frequently!,user_experience
Barbara Halleron,3.0 out of 5 stars,Not useful,Don't use it.  Wasted purchase,feature
Sandra Amador,2.0 out of 5 stars,Only works for a couple days.,At fist it works great then couple of days late. Doesn't want to work. It tell error not Available.Doesn't want work,issue
Mike Petermen,3.0 out of 5 stars,Three Stars,It's just an app to watch NBC Sports. You still have to log in with your cable account.,issue
Hikin',2.0 out of 5 stars,first lesson is great,"then you have to buy to get more. I did not realize it was only a teaser to get you to buy the complete program. What I was able to do, does help to learn a language. But of course it won't teach dialect.",issue
Two3,1.0 out of 5 stars,Ok,Ok,other_information
Mr M J Hoskins,1.0 out of 5 stars,beware,"i downloaded this just to see what it was all about, BUT it automatically seems to sign you up after the free trial period. i only wanted to see the information NOT be tied in to an app!",issue
Kindle Customer,5.0 out of 5 stars,Great watch,Works fine. Great value,user_experience
Patricia Robinson,3.0 out of 5 stars,Not really sure,Not sure about how well this works,user_experience
JC,4.0 out of 5 stars,Four Stars,liked it,other_information
JEANIE C,1.0 out of 5 stars,ItÃ¢â¬â¢s useless.,"I deleted it and want my money back. ItÃ¢â¬â¢s completely impractical because thereÃ¢â¬â¢s no sound, it lags and the picture Is much too small, media is unwatchable.",feature
Sandra Mary Cetta,1.0 out of 5 stars,Useless,I tried this ap before buying the full version. It does not support my printer (Samsung ML2165 series) very disappointed.removed,feature
Josh Carpenter,4.0 out of 5 stars,I love it but I would chance the ads,I love it but I would change The ads,issue
Amazon Customer Roy B,1.0 out of 5 stars,"Dosen""t work with my printer!",Can't connect to my HP printer!,issue
Yny,5.0 out of 5 stars,Report,good,other_information
Barbara Johnson,4.0 out of 5 stars,Four Stars,Works well.,user_experience
Wanda Woman,1.0 out of 5 stars,Didn't work with my 2019 Kindle,"Downloaded app, opened app, hit Start and right off the bat got a ""not compatible with this device"" message. Next step is to delete app & look for one that is.",feature
Mary,1.0 out of 5 stars,Doesn't work!,Doesn't work!. I tried to print recipes from Pinterest and it never worked. Don't bother with the app.,issue
Wattsfields,1.0 out of 5 stars,Rubbish,Rubbish,user_experience
IHS.,5.0 out of 5 stars,Five Stars,nice app!,other_information
michael fransene,2.0 out of 5 stars,Two Stars,i dont watch tv commercials!,user_experience
Ana H,3.0 out of 5 stars,I do not use this app,"Going through my purchases, I see so many streaming apps and channels I don't even remember ever adding. I do not use this app so I really cannot give it an honest review.",feature
Kim,5.0 out of 5 stars,Awesome,I love this app it is awsome.Every one should try the app .It is free and easy.,user_experience
Amazon Customer,1.0 out of 5 stars,Not worth rffirt,Poor app,user_experience
Robert S. Tyler,1.0 out of 5 stars,One Star,Did not work,user_experience
Peggy M,1.0 out of 5 stars,I would suggest not getting it.,I was trying to watch my grandsonÃ¢â¬â¢s high school football game and it was choppy the whole time through my fire stick. The game was perfect and clear on my iPhone but not through the mirror on the TV.  I got out of it and back on and it didnÃ¢â¬â¢t help.,issue
OJ,5.0 out of 5 stars,it works.,It works.,other_information
Alan Lealand,5.0 out of 5 stars,Good streaming,Good,other_information
Cris,5.0 out of 5 stars,Good,Good,other_information
frank di,3.0 out of 5 stars,Three Stars,It's good when sprint cup racing is on,other_information
GardeningisFun,5.0 out of 5 stars,Game you wanna play for the rest of your life,How I can design and Turn it into my own world,user_experience
Bryan,5.0 out of 5 stars,Five Stars,Great shorts providing lots of good and new information,user_experience
Schwenke,4.0 out of 5 stars,I love this app so much!,I love this app so much!It really helped me with the pronunciation that I couldn't learn from books.,user_experience
Gloria,5.0 out of 5 stars,Fast,Like ,other_information
Neil C.,1.0 out of 5 stars,Did not detect my camera.,Deleted.,feature
Sumner,2.0 out of 5 stars,Free app but paid service,I downloaded this app directly from our fire stick due to it showing to have a high rating as well as seeing a review on a website stating it was a top Ã¢â¬Åscreen sharingÃ¢â¬ï¿½ app.What neither the review website nor the app page mentioned was the cost. The app is free to download but you must have a sharing plan to activate and use the app.Due to this unforeseen cost I have rated this app with only two stars as I feel like it should have been clearer about sharing plans prior to downloading the app. I of course have uninstalled the app.,feature
java lover,1.0 out of 5 stars,I hesitate to rate anything with only one star. ...,I hesitate to rate anything with only one star. It just failed to work for me. Maybe it worked ok for others.,issue
Christopher Black,1.0 out of 5 stars,Not what I wanted,The way it was advertised I thought I could stream out of market NFL but you cannot. Glad  only did the trial because it was not what I wanted at all.,issue
Linda,5.0 out of 5 stars,It's very fast.,This works great for cleaning my Kindle fire.,user_experience
gmoney63,4.0 out of 5 stars,VPN works,It's perfect but mostly times freezeing deleted,feature
Jacob M.,1.0 out of 5 stars,Keeps crashing and deleting my work.,"At first glance, this app seems amazing but ultimately you'll quickly change your mind after losing your hard work to crashes. Stay away from this app, it is nothing but a source of frustration, especially when you can't access a file after saving. If I could rate negative stars, I would.",feature
Lakyn Kadarenna Grose,3.0 out of 5 stars,Read before downloading,ItÃ¢â¬â¢s not what youÃ¢â¬â¢d think. ItÃ¢â¬â¢s not filters itÃ¢â¬â¢s just stickers.,issue
timothy h.,1.0 out of 5 stars,Worst app ever,"Worst app ever , why do I have to go find my phone or laptop to sign in every f***ing time I want to check in on the progress of a game ? I have 30 Mbps internet and still get stop and game action on my Fire tv.",issue
Tamera Grace,2.0 out of 5 stars,Eats Up Your Data !,"This apps content is good but for those who have to watch how much data they use, the app itself eats the data even when not using. Cancelled the free subscription.",feature
Janet ~ Kindle Customer,1.0 out of 5 stars,Doesn't function.,Deleted. It doesn't work.,feature
kindle user,1.0 out of 5 stars,no video,"I don't know what's wrong with this app.  The call connects but there is no video from my Kindle fire HD.  This is a huge disappointment.  Luckily this app was free so it doesn't bother me to much to delete it.  Looked on line, seems many people have this problem and nothing is being done to fix the problem.",feature
Kellie,1.0 out of 5 stars,worst gameÃÂ¡!!!!!,"I played this game and it said I was 49 years old it #$!@"":'&""""&:!%""*$4"" and I suggest not to get it.",feature
Bob M,5.0 out of 5 stars,Five Stars,"Worked well with my Canon multifunction printer and my Kindle Fire HDX 7"".",user_experience
chi_walker,1.0 out of 5 stars,Be wary--you must purchase a second program.,This tool is useless without paying $3-4.00 for the additional app that may do something useful. I deleted it immediately.,feature
John Q Public,5.0 out of 5 stars,Great App,"I downloaded this app because I am headed to Barcelona in a few months. While it does help to have a little knowledge of the language you are trying to learn already, this is an amazing app that is already helping me to prepare for my trip!! Thank you Duolingo for this app!!!",user_experience
LadyByrd,3.0 out of 5 stars,Three Stars,Works ok.,other_information
this app is awesome!! it's so easy! i just got it but i think i'm going to love this,5.0 out of 5 stars,ok,this app is awesome! it is really easy! I just got it but I think I'm going to love it!,user_experience
Henries,5.0 out of 5 stars,I recommend this product.,"I really like S/W that works with the equipment. D/L and install EZ, works great.",user_experience
Deborah S.,4.0 out of 5 stars,Four Stars,Easy and fun,user_experience
JenBunny1984,1.0 out of 5 stars,Didn't work with our devices,Did not work with my devices.,issue
DAT KIT KATZ DOEE,5.0 out of 5 stars,Amazing but had some problems,This is Amazing! But I did have some problems with the app I didn't know WHERE my vid went mabye bc I'm using a fire tabblet?,issue
Annie's Corner,1.0 out of 5 stars,One Star,Saw the Ads and uninstalled.,feature
Sb,2.0 out of 5 stars,Disappointed,"Kept cutting out, ended up turning it off.",issue
rob,1.0 out of 5 stars,One Star,Not too happy. Just show highlights.,issue
Amazon Customer,1.0 out of 5 stars,Not worth rffirt,Poor app,other_information
Liane Stephens,3.0 out of 5 stars,Useful with room for improvement,Effective for some issues.  Hopefully will continue to evolve. Its oky,other_information
BobbyD,5.0 out of 5 stars,Five Stars,Seems good got it for my Slik brower,user_experience
Kelly,1.0 out of 5 stars,App does not wkr,DidnÃ¢â¬â¢t work.,user_experience
Risa Aronson,1.0 out of 5 stars,Does not work.,Terrible app. Do not buy. Use Airplay instead,feature
jaypaul,5.0 out of 5 stars,Very happy,"A lot better then directtv now, and a better deal. Very happy",user_experience
Gambit Larson,5.0 out of 5 stars,Good,Good,other_information
Great quality for a great price!  Very pleased!! A+,1.0 out of 5 stars,Bad app,Ordered free trial to watch all star game and couldnÃ¢â¬â¢t get game as advertised.  Super hard to cancel free trial .,feature
-,1.0 out of 5 stars,Not fro a small screen.,Not an activity that works well on a screen smaller than a laptop.,issue
Amazon Customer,2.0 out of 5 stars,ok,Too much lag and buffering ,issue
Forrest Molstad,1.0 out of 5 stars,"DonÃ¢â¬â¢t bother, very slow and buggy",Lousy. Freezes after a few mins.,issue
January,1.0 out of 5 stars,fix please,Every time I call someone the camera freezes and the call drops. Please fix this problem,issue
Sherry Kay Miles,4.0 out of 5 stars,Fun,I need a lot of practice to get use to it,user_experience
Ninad,1.0 out of 5 stars,Not worth it,Download app and itÃ¢â¬â¢s ÃÂ£1.99 so deleted,feature
Robert Gilmore,1.0 out of 5 stars,When iPhone app connects strange messages appear,Initially connecting an iPhone using the Screen Mirroring companion App to the Fire Stick Screen Mirroring App the connection works but after a couple of minutes a message appears on the TV that there is an error described as unauthorized use. You can't get rid of that message even when you exit the Fire Stick App. The only way to get rid of the message is to actually reboot the Fire Stick. Although there is nu charge for the Screen Mirroring Fire Stick App I had to pay for the companion iPhone version which turned out to be two different applications from that company. So I have invested money in something that DOES NOT WORK. The company's answer was I had to wait for a new update in their application. They should have refunded my money for the iPhone apps.,issue
Marcia,2.0 out of 5 stars,Local Channels.,They only had one local channel in our area.,issue
Albert Robichaud,5.0 out of 5 stars,Ok,Ok,other_information
Matthew,2.0 out of 5 stars,Redundant and not well made,"Massive paywall. Nothing that you couldn't just ask your Home speaker to tell you. Boring content. Overall, as bland as the recipes.",user_experience
Howard,1.0 out of 5 stars,won't even let me sign in,"Every time I go to open the app it says I don't have a network connection, but every other app that needs WiFi works just fine.",issue
nil2thebrain,1.0 out of 5 stars,Gone,Deleted,feature
Southern Collard,1.0 out of 5 stars,Deleted it,"Not so impressed, uninstalled",feature
Nikki,1.0 out of 5 stars,"Not working properly, don' t know what to do...",Logged in fine but cannot use it as I don' t seem to be actually logged in - it says all my contacts are offline and noone can see me on it. Have looked online for help but not found anything. I live abroad so this is one thing I really wanted from my Kindle Fire - To skype family back home without having to turn my computer on.,issue
Amazon Customer,2.0 out of 5 stars,It works but......,"With AirBeam I can mirror from my iPad to my FireTV and that was what I wanted to do. However, its not nearly as good as AirPlay to a Apple TV. If you only have a FireTV youÃ¢â¬â¢ll be somewhat satisfied but if you have a Apple TV youÃ¢â¬â¢ll continue to keep/use it. Apple to Apple is usually the best way. But, $5 for AirBeam is a lot less than a Apple TV if you donÃ¢â¬â¢t have one.",user_experience
Lisa J.,1.0 out of 5 stars,Fubo,"This is one app IÃ¢â¬â¢ve never been able to access. I have signed up a year ago or more, never been able to access the program.",feature
Malisa Creager,1.0 out of 5 stars,One Star,Nope could not get it to work right on kindle,issue
Gene R. Manson,3.0 out of 5 stars,Three Stars,No comment,other_information
crackpot,1.0 out of 5 stars,Fubo tv sports,It's a buy streaming service which I did not purchase,feature
Amazon Customer,1.0 out of 5 stars,stops working aggravating,"Stops working all the time. It shuts my kindle off.  Since they upgraded it, it does this all the time.  ...",issue
Josephine,1.0 out of 5 stars,One person found this helpful,removed,feature
Leftos,1.0 out of 5 stars,No good,No good,other_information
Amazon Customer,1.0 out of 5 stars,App does not work.,"That app never opened, it was just frozen and nothing could be done.  This was one of the worst apps I have ever downloaded.  I thank GOD I didnÃ¢â¬â¢t have to pay for it.  If I could give negative 5 stars I wouldÃ¢â¬â¢ve.",issue
Lois Flemming,5.0 out of 5 stars,Five Stars,It works!!!!!,other_information
Rafael,4.0 out of 5 stars,Four Stars,is ok,other_information
Kindle Customer,1.0 out of 5 stars,Doesn't work,"Doesn't work at all. Says it records, but I can never see any of the videos, so who even knows. FAQ is useless.",issue
Sarah Cardwell,1.0 out of 5 stars,ok,What is up with this app?it takes forever to download and I hate it just from that!,user_experience
Oscar LÃÂ³pez,5.0 out of 5 stars,Nice,Nice,other_information
JJ,4.0 out of 5 stars,Sastified!,"Free version merely finds potential issues......in order to fix, you need the paid version. Paid version seems to work well Satisfied with app...appears to do a good job!",user_experience
J. Kelly,1.0 out of 5 stars,Crashing...,I tried to sign up for the account 5 times. It crashed all 5 times while I am filling the phone areas. Sucks. =/,issue
Antonio Picardi,1.0 out of 5 stars,Translate review to English,canceled it,feature
Susanne Welch,4.0 out of 5 stars,When it would arrive,Use,other_information
Adavis,1.0 out of 5 stars,Misleading,"Ads for the app are misleading, and free trial requires a CC.  Did not use, will delete.",feature
Kenneth J. Cain,5.0 out of 5 stars,Met my expection,Worked fine to mirror my iphone.,user_experience
Literate1,1.0 out of 5 stars,Blah Ã¢â¬â not paying a monthly fee for this crap,What a scam Ã¢â¬â they want a monthly fee! Deleted almost immediately.,feature
jess,1.0 out of 5 stars,sucks,App crashes and freezes . I cannot adjust the volume at all. About to delete !! I do love skype but this update on Dec 27 made it suck !!!!!!!!,feature
Evie Hugg,3.0 out of 5 stars,Three Stars,"okay,",other_information
Amazon Customer,2.0 out of 5 stars,It Works Ok,It works ok. But it crashes constantly.,other_information
Tara Sell,5.0 out of 5 stars,I like it,I like it because it lets me use it on another app.,feature
Miss B Donaghy,1.0 out of 5 stars,"I have viewed this using the free trail, but ...","I have viewed this using the free trail, but it is impossible to cancel the subscription before the fee is deducted from account!! unauthorised payments to this app!!",feature
ONE517,5.0 out of 5 stars,Good,Good,other_information
P. Fuller,1.0 out of 5 stars,Can't Remove,"Most apps I can remove from my Kindle just by selecting ""Remove from Device"". I can't see any way to get rid of this thing.",feature
Grace Lozada,1.0 out of 5 stars,Picture was not clear.,Video kept disconnecting,issue
john,1.0 out of 5 stars,Scam - They change your billing and dummy cancel your subscription,"FuboTV is a scam. They updated my purchase by double charging me for the same service then when I tried to cancel they told me it was cancelled and merged the charges and then continued to charge me a higher rate and service while simultaneously locking me out of my account. When I tried to login the webpage said my account was deactivated and they then proceeded to charge me for 2 more months. The entire time I was complaining to customer service with receipts and confirmations that my account was cancelled yet I was still being charged. Customer service was useless taking days to respond via email and the phone line disconnected during multiple calls and when I asked for a refund they just replied with ""you have access to service until next month enjoy"". DO NOT GIVE GIVE THEM YOUR MONEY OR CARD INFO OR THEY'LL STEAL YOUR MONEY.",feature
zac zimmerman,1.0 out of 5 stars,Mmm...,It won't save my recordings.,issue
Jean Donnelly,1.0 out of 5 stars,One Star,"Was looking to stream football games as local station antenna went out, very disappointed",issue
Amazon Customer,1.0 out of 5 stars,Zero Live Sports,This App is garbage. Zero Live Streaming Sports. The only Major Network that does not stream Live Sports on its App. Garbage. Wake up CBS. Start Live Streaming Sports!,issue
Amazon Customer,5.0 out of 5 stars,outstanding.,Amazing that it's free. Grab this if you want to learn a language or want to brush up on old skills.,user_experience
Art,5.0 out of 5 stars,Loads quickly on FireStick.,Works well to mirror my iPad to my TV screen.,user_experience
clarissa shepard,5.0 out of 5 stars,It has every channel you would want,Slow loading at times,issue
John Pro.,1.0 out of 5 stars,Doesn't Work on Kindle Fire 7 HD,Doesn't work on Kindle Fire 7 HD,issue
A Jones,4.0 out of 5 stars,Four stars,Not to bad,other_information
Kindle Customer,2.0 out of 5 stars,NEEDS SOME WORK!!,"When I opened the app it came up with a message, something about how I liked the app.  Since I hadn't looked at it yet I couldn't say.  After I looked at the app and can see it has some glitches I could no longer get the ""what did I think of the app"".  When I tried to access a recipe that was offered from the recipe picture pages a different recipe would come up - not the one I asked to see.  After doing this numerous times with various recipes pictured I have determined that this definitely ""Needs some work"".  Maybe it can stay on my apps, but I don't know if I'll bother using it it I can't access a particular recipe.  And, thanks for putting the How do you like this app feature upon the first opening of the app.  How did I know that it doesn't exactly work as advertised.  Not impressed.  Also, don't like the new Foodnetwork style.  Printing is WAY too big.  Like I don't need to use 1/4 page of a piece of paper for the title of the recipe only.  That, with all the ""competition cooking"" shows, and I'm about to write Foodnetwork off of my radar.",issue
Marisa,1.0 out of 5 stars,Worst ever,THE worst ever. Worked few minutes during a soccer game on Tuesday. I already canceled my subscription,feature
Jose Sanchez,5.0 out of 5 stars,This app itÃ¢â¬â¢s Plus if you buy it,The best app for the screen mirror I love it,user_experience
craig august,1.0 out of 5 stars,Basically worthless,"Very poor Olympic coverage, unless you want to watch fluff pieces on South Korean life, loads of commercials or videos of zambonis cleaning ice rinks. Thumbs down NBC",issue
Mark clarke,1.0 out of 5 stars,Did not work,Could not get it to work on on my iPhone 7+,issue
Brock Andres Vernal,1.0 out of 5 stars,non ,uninstalled,feature
Les.lee,1.0 out of 5 stars,Rubbish,Not user  friendly provides nothing a pointless app,user_experience
K smith,1.0 out of 5 stars,Not good for me,Deleted it,feature
smb,1.0 out of 5 stars,Waaay too pricey,Waaay too pricey.  Ended up deleting the app,feature
Kindle Customer,1.0 out of 5 stars,One Star,It's just ok.,other_information
Jo-Anne Yermak,1.0 out of 5 stars,HORRIBLE,This is horrible it wouldn't let you watch your own videos and the sound quality isn't so good. I would NOT recommended getting this,feature
HelloItsMe,3.0 out of 5 stars,Nice,Okay,other_information
Anna Mae Eberly,5.0 out of 5 stars,Five Stars,I like it it's easy for me to send messages to my grandchildren,user_experience
AzGeezer,1.0 out of 5 stars,App,Removed unused to recover storage space.,feature
Cynthia Leatherwood,1.0 out of 5 stars,This app sucks!!!!!!!!,App works get for casting from your phone to the television.  However. In the middle of a movie it stopped playing and required payment in order to continue casting the movie. There is nothing that says you are using a free trial with only one hour of streaming if that much time. I will be deleting this app for sire from my firestick!!,feature
Pamela,5.0 out of 5 stars,Works well,Easy to use,user_experience
craig,3.0 out of 5 stars,Three Stars,ok,other_information
Jeanne G.,1.0 out of 5 stars,Hammer print that's the name of it,I want to cancel it I'm too confused on it there's too many things to to be able to choose the right thing,feature
Bet'T,1.0 out of 5 stars,Use of age scanner,It didn't tell the truth about anything.  I did not like this product will not use again.  It is not very good.,other_information
ccl,1.0 out of 5 stars,no help for me,I was not able to use this app for my Epson NX Stylus 230 printer.  I even sent an e-mail letting them know that needed to update the app for this model but got no help.  I finally downloaded another app that does work.,feature
S.D.E.,3.0 out of 5 stars,Three Stars,It's okay.,other_information
Amazon Customer,1.0 out of 5 stars,Not the best,In my opinion it is a pain to drag all the filter pieces instead of just taking a photo and boom it's there.,other_information
Michael Johnston,1.0 out of 5 stars,problematic,Skype worked great until the latest update. Beeps every time the video has a glitch. Beeps everytime I switch between landscape and portrait mode. Very annoying to me and the person on the other end. Only stopped beeping after I turned the sound all the way down. Then I can hardly hear the conversation. Crashes all the time. No way to revert back to the previous version. If it weren't free I'd want my money back.,issue
Lisa A Serrano,1.0 out of 5 stars,Do not recommend!,Only worked for 5 minutes!,other_information
Jay,1.0 out of 5 stars,Not so great,Not so great,other_information
Pen Name,1.0 out of 5 stars,Not Google to fire compatible,Doesn't work between Google pixel and firestick.,user_experience
C. S. Mako,2.0 out of 5 stars,Not much selection. Maybe it will improve.,Looking for grindhouse odd drive in stuff. I was disappointed with the selection.,feature
BIGTee,5.0 out of 5 stars,Works well with android,Would get again,user_experience
patricia,1.0 out of 5 stars,Glitches,"After about a year it starts acting up, deletes prepare documents, and losses the ability to edit already made documents.",feature
Jorge Crivelli Sr.,3.0 out of 5 stars,Three Stars,working fine,other_information
