Profile_Name,Rating_Star,Headings,Base_Reviews,
Dawn Barrientos,1.0 out of 5 stars,Dies not work...,I could not get any of the videos to play.,
Amazon Customer,1.0 out of 5 stars,App would not load on to the fire stick,Could not get past OPT locked up 4 times. no access,
kierra j. scott,5.0 out of 5 stars,N/A,haven't turned the channel on yet but ig its still good,
Alexander James,5.0 out of 5 stars,The look,Amazing,
Michael White,3.0 out of 5 stars,Streaming app,"First off, it has no flavor nor is it thick so I am clueless why I need to rate these. Mixed reviews here. On one hand, it has all the Food Network content. On the other hand, it's very cumbersome to navigate, next to impossible to quickly and easily find what you're looking for. I can't save or bookmark a series as a favorite, just individual episodes. This is a pain.",
Adam,2.0 out of 5 stars,Where is the content???,"This app has very limited content and not much of the Food network offerings.  I would advise checking the content before purchase.  If this were not free right now, I would have cancelled.  There is very little of the food network content that we were looking for.",
Matthew,1.0 out of 5 stars,Take this review with a pinch of salt plz.,Itâ€™s not playing any videos. Idk if itâ€™s due to my geographic location but not one of the vids play.I wonder if Amazon would give me another free subscriptionðŸ˜…,
S. L. King,4.0 out of 5 stars,Four Stars,"Very nice, can get all the recipes from your favorite chef.",
Janice Gandt,4.0 out of 5 stars,Four Stars,Good,
Tom Blakney,5.0 out of 5 stars,Yes Barefoot Contessa!!!!!!!,I love In a Garten and her recipe and when I saw the Food Network app I just had to have it.,
drbamame,1.0 out of 5 stars,Like the app but....,"I really like this app but it keeps stopping on me. The app is basically useless to me right now because it keeps ""stopping"" on me. Please fix!  It's been doing this now for several months.",
dmerritt,4.0 out of 5 stars,FOOD NETWORK,"FOOD NETWORKAwesome app, help me alot in the kitchen for that little extra items needed to make an outstanding meal",
Mark J. Lewandowski,5.0 out of 5 stars,Great for my favorite Alton Brown recipes,"Only problem so far is that while scrolling through recipes, many recipes repeat several times.",
Kathy Dale Popp,5.0 out of 5 stars,Five Stars,Best ever,
Michael,1.0 out of 5 stars,One Star,Can not use it in my area.,
Jacque,4.0 out of 5 stars,Food Network In the Kitchen,I Love this app. It's great to have on those days when you want something different but can't put your finger on exactly what you want.,
annette rogers,4.0 out of 5 stars,feelinggoodthesedays,"I love this app, just need to show more pictures and more recipes of the finished product, then this app will receive a five star rating from me.",
Pearl M Harris,5.0 out of 5 stars,Five Stars,Yeah!!!,
Annie,4.0 out of 5 stars,annie802,Great app,
norm,5.0 out of 5 stars,Great,"I finally got to use my Food Network app, I was pleased how easy it was to navigate. Lots of great recipes, I haven't even viewed 1% yet, and anxious to try some of them.This is the first app of it's kind that I've tried and will probably try another!",
Amazon Customer,5.0 out of 5 stars,Five Stars,Easy quick and great tasting recipes.,
N. Jenkins,4.0 out of 5 stars,media,The idea of the app is good and it is great for finding recipes. The only draw back is the media. The videos don't work and only some of the recipes have pictures.,
Jeton Woody,1.0 out of 5 stars,To sign up have to provide payment method,I thought it was free but have to enter a credit card to watch during the free period so no thanks.,
LaFond 5,5.0 out of 5 stars,Five Stars,Recommend.,
fairygal,5.0 out of 5 stars,Five Stars,Love Chopped!,
Kindle Customer,5.0 out of 5 stars,Wonderful!,"I love this app for the ease of use,  good graphics and good recipes for the everyday cook.  Every recipe I have tried has come out well.  Fun to browse when you can't decide &#34;what's for dinner?&#34;",
teris,4.0 out of 5 stars,everything I need,This app helps me find dinner ideas and great recipes for all occasions.  I love that all my favorite Food Network stars are in one place.,
Annie,4.0 out of 5 stars,Four Stars,I loved to look over the recipes and hope someday to try some of them,
tania knepp,3.0 out of 5 stars,Three Stars,cute,
roxie,5.0 out of 5 stars,Five Stars,great app,
judy white,5.0 out of 5 stars,Five Stars,Great,
tootie,5.0 out of 5 stars,Great,Love it. Very nice to get recipes as you are grocery shopping. Will tell all my friends about how neat it is,
oreocookie7203,5.0 out of 5 stars,Awesome Recipes,AWESOME App. Easy to navigate and a wide variety of recipes from famous to not so famous chefs! A Must try!!Felicia F.,
J  Sol,4.0 out of 5 stars,Great app,"I find this app so much easier than others, where you have to keep clicking to get to the actual recipe. This app is designed really well. Great job!",
Priscilla,4.0 out of 5 stars,love it,excellent app easy fast helpful. and I found some really good recipes. and I look forward to dinner now.my husband is always saying where did I learn how yo cook these new meals he loves it too.,
Orduxfn,5.0 out of 5 stars,Great Recipes,Very easy to use and guide thru. Great selection of recipes to chose from. Would definitely recommend this app for any cook.,
Kindle Customer,5.0 out of 5 stars,This is a must have,I use this app almost on a daily basis! Absolutely love it.,
newcook,5.0 out of 5 stars,love this app!,I love this app. I'm new to cooking and this app not only gives me lots of recipes to choose from but it gives different skill level and videos for me to watch. My family and I haven't eaten takeout in over a week! It's wonderful.,
James Moore,5.0 out of 5 stars,happy cook,This ap is great for the tablet.  It's like having dozens of cook books from many favorite chefs at your fingertips.,
Patricia,1.0 out of 5 stars,One Star,Can't use this app.,
jah5442,5.0 out of 5 stars,like the choice between chefs and comparing.,Great recipies,
allison s,5.0 out of 5 stars,makes life easier!,"Every recipe you can imagine! Easy to use. Creates your shopping list and saves your recipes! I keep it on my tablet, take it to the grocery store and it makes my shopping list!",
theresa thomas,3.0 out of 5 stars,Three Stars,Ok,
summer,5.0 out of 5 stars,awesome app,"Not only is this app free, it's super on point. The recipes are never ending. You can literally type in any ingredient a numerous recipes will come up for it.",
ldvFOG,5.0 out of 5 stars,user friendly,This app is very helpful. The simplest of cooks can prepare meals.,
Lilly Lam-Choy,5.0 out of 5 stars,Mmmm,Nice and entertaining.,
Mary Spriet,3.0 out of 5 stars,some recipes to vague,"Good for ideas, but some recipes are very with-holding. Would be nice to have detailed & complete recipes. Not something generalized.",
Roxanne Buser,4.0 out of 5 stars,Four Stars,Love it,
Marri B. Grissom,5.0 out of 5 stars,great app,"I have this app on my iPhone, iPad and it runs more efficiently on my Fire HD. I love how it doesn't crash as often.",
dmmous,5.0 out of 5 stars,Love cooking? Well you got the right app the ...,"Love cooking? Well you got the right app the Food Network, this little app will have you preparing wonderful dishes in no time. So invite family and friends, to try some of your best treats ever. Enjoy!",
Susan L. Toner,4.0 out of 5 stars,Great app!,"Videos are really helpful for beginner cooks, and there are loads of recipes to choose from. I use it all the time!",
Lucky Lindy,4.0 out of 5 stars,Four Stars,"Nice, good recipies",
allison williams,5.0 out of 5 stars,Food,Love it you get most of the chefs and their take on recipes,
Matthew G Godina,5.0 out of 5 stars,Five Stars,The recipes that are shown can be recreated with ease.,
Frank S.,3.0 out of 5 stars,Nice app but limited.,I like using Food Network recipes often.  It is my go-to website and tv show.  The app is limited.  You can't get all the chefs.  It's good for a quick recipe look up.  Not all of their recipes are listed.  Prefer the  website.,
Lori Otto,4.0 out of 5 stars,Clear and concise,"Love this app...good selection of recipes and very clear instructions Do agree that it needs more photos, but both other wise very clear",
Patrick K.,5.0 out of 5 stars,worth the purchase,"Works great, better than the web version and you can save your recipes and take notes.  Great value art five bucks",
Dr. Nownl8er,5.0 out of 5 stars,I love this app,It gives me quick access to all of my favorite recipes. I have had any issues with it so far.,
J. Palmer,4.0 out of 5 stars,Good App,Wife enjoys the app when she can't get to her computer to look for dinner ideas.  Works well too while shopping so she can see the ingredients.,
Alice Kruse,3.0 out of 5 stars,"Okay, but not anything to rave about.",Very few recipes as compared to a book. This is the first app I ever bought and I think I'd rather shell out for a Food Network magazine subscription.,
Alfredito,5.0 out of 5 stars,Great Source for Recipes!,I gave the Food Network in the Kitchen app a 5 because of their classic way of cooking  the many recipe choices and the different Food Network chefs that present their personal styles/,
Cheryl Schneider,5.0 out of 5 stars,A great variety of recipes that provide tasty and healthy food ...,A great variety of recipes that provide tasty and healthy food for every taste bud.  Easy to use and a challenge to do something different.,
Diane Patrick,4.0 out of 5 stars,Awesome,Love this app!!!,
Vivian,5.0 out of 5 stars,Five Stars,Like it very much,
JACKIE E,4.0 out of 5 stars,Four Stars,A+,
3KL,3.0 out of 5 stars,????,"A bit of miss leading promo, you get the basic stuff. But as usual , they want your money to get the videos",
UConn mom,5.0 out of 5 stars,Five Stars,love having favorite recipes right at my fingertips where ever I go,
Hello Kitty,5.0 out of 5 stars,good collection and easy to use,I like this app. I can open my kindle fire and type in what recipe I'm looking for or a ingredient I have and I get some good ideas and suggestions. On my kindle fire it is easier than using the browser (silk) I have made 3 things so far,
Amazon Customer,5.0 out of 5 stars,Inspiring,Lots of ideas to get the cooking mojo started. No idea what to eat? Well just download this app and turn on a burner.,
Marti A. Coler-dark,5.0 out of 5 stars,Five Stars,Who doesn't love recipes..,
Donna Zigler,5.0 out of 5 stars,Totally awesome recipes,Easy to understand and execute recipes!,
Heather Anderson,5.0 out of 5 stars,yeah! good stuff...,Food for the common folk...,
Heather Siems,5.0 out of 5 stars,I love it!,I watch Food Network all the time and having the recipes available is fantastic.  Especially since the are organized by chef.,
cj long,5.0 out of 5 stars,Perfect for the on the go chef....,This is simply the best way to take recipes with you and look up others that you forget. I have two personal cooking businesses and this helps a ton.,
mother of 3,5.0 out of 5 stars,everything you need in one app!!,I love this app!! My kids are so picky and don't eat slot of what other kids do. I have found so many recipes that they love! I no longer need a cookbook!! A new meal everyday...,
Shirl,5.0 out of 5 stars,Food Network App,I was looking for a recipe on my phone.  It helped a lot.  Also I subscribe to Food Network Magazine. Love the app.,
zippy,4.0 out of 5 stars,Four Stars,very nice app.,
Lisa Lockett,4.0 out of 5 stars,I really like food network!!,"Not a fan of everyone on this site, but some people don't like me!! LOL!! I do like the recipes on this site. There are recipes that are listed 2-3 Times, but I can get over that!! Thank you for having this site on my Kindle!!",
Sandy H,5.0 out of 5 stars,Food on the go,Travel is what I do and there is no need to carry my favorite recipes with me because using this app makes cooking easy no matter where I am.,
gamer,5.0 out of 5 stars,sooooo useful,I frequently watch foodnetwork and this helps me out. I love the easy access to recipes and the shopping list.,
STKNterrors,5.0 out of 5 stars,love it,Food network is a favorite in my house and this app is a great extension of the shows on food network. So many useful recipes!!,
Samantha Shaw,5.0 out of 5 stars,can't  get enough of it,I have loved the channel and now absolutely love the app.  That is it in a nut shell.  woo hop.,
Jim k,5.0 out of 5 stars,Five Stars,excellent recipes. every recipe you could ever want and more.,
Richard Morgan,2.0 out of 5 stars,Two Stars,Found it hard to navigate.,
mic,5.0 out of 5 stars,The Greatest Food App,Best ever for new recipes!!!,
Amazon Customer,5.0 out of 5 stars,A life saver,"Love it, find the instructions easy to follow",
barbra lynn fuhr,5.0 out of 5 stars,Five Stars,Wonderful  recipes!,
Jessie L. McEachin,5.0 out of 5 stars,Five Stars,Excellent.,
niki34,4.0 out of 5 stars,i love this app,I love using this app for when I need to fine a quick recipe need some work done runs slow at times,
Amazon Customer,3.0 out of 5 stars,Good recipes,"Good recipes from expert chefs, however the number of recipes are limited.  Just wish there were more available using this app.",
Willie Ford,5.0 out of 5 stars,Five Stars,"Great resipe""",
Kerry Buckley,5.0 out of 5 stars,love!,"I love this app. I use it all the time!!  It is quick and easy,  makes diinertime a snap. Would recommend to everyone.",
Jim Spyder,4.0 out of 5 stars,Love to cook,"I like to cook, need I say more?",
peachies,5.0 out of 5 stars,grate app.,I love this app when i need a quick recipe i am one click away thank you folks y'all did a grate job.,
Stormfly,5.0 out of 5 stars,Food,"I think this is a great app, it really helps me find out new, delicious recipes and try them! I love The Pioneer Womans recipes their always so good sounding. Thank you Food Network!!!",
Dorothy,3.0 out of 5 stars,Three Stars,okay,
Sugar Bear,5.0 out of 5 stars,I Love It!,It lets me find food. See what others cook. Also sometimes a video to go with it. If you want to get this app get it now. One more thing ENJOY THE FUN APP.,
Virginia Schry,1.0 out of 5 stars,Doesn't work well on Kindle Fire.,I can not get into my recipe box on my Kindle edition of Food Network.,
homecook87,4.0 out of 5 stars,Great app for free!,"I like this app. It's easy to use and convenient. I have it on my kindle and my Apple products, occasionally it will quit on me but lately since the new updates, I haven't had any issues. Sometimes I will look up a recipe I know exists, but it won't show on the app and it will online, very strange, but what do you expect for free? You can also create a recipe box and just 1-click to save a recipe. Piece of cake (pun intended). Happy cooking!!",
Patrick Belton,5.0 out of 5 stars,I use this app on my Kindle in the kitchen,It's a lot easier to follow recipes on the Kindle than an iPhone so it's great that the Food Network app is available on the Kindle.,
Beverley L Meyer,5.0 out of 5 stars,Five Stars,Love this one as well.,
Amazon Customer,4.0 out of 5 stars,Four Stars,Shows good food.,
Mary James,4.0 out of 5 stars,Four Stars,good,
Jayy,5.0 out of 5 stars,ðŸ˜�,ðŸ˜� love. It,
chris pfaender,2.0 out of 5 stars,not so good anymore,They added ads and now it kind of sucks. I have no idea why they think we need more ads. Aren't they rich enough yet? Stop with the slams!!!,
Bruce Ahern,4.0 out of 5 stars,Good range of utility here - lotsa great recipes,Easy to use with lots of creative recipes.  Great TV chefs to choose from.  Big help when guests are coming for dinner,
Marjorie Miller,3.0 out of 5 stars,foods to cook,"I enjoy this very much,have used it and just read some of it very interesting !Know this will very handy !",
Amazon Customer,5.0 out of 5 stars,Five Stars,Love this app,
Amazon Customer,5.0 out of 5 stars,love it!!!!,"If you are making a dessert or dinner from one of the foodnetwork stars, no need to go to the site. Every star's recipe is in this one tint app",
Amazon Customer,4.0 out of 5 stars,Four Stars,"I love most of the shows:  Farmhouse Rules, Trisha, Valerie, The Kitchen, & Pioneer Woman my fav !",
Chick T.,2.0 out of 5 stars,Need a recipe format,"The recipes are very good and if I I only give them credit for the recipes, I would rate them much higher.  However, the reason I gave them only 2 stars is that when I choose to print a recipe, it is all in one paragraph, not listing ingredients first, and then instructions making it much harder to use when preparing the dish.",
PCH,5.0 out of 5 stars,great app,Love this app,
Karen Boys,5.0 out of 5 stars,Five Stars,i love it.,
Shaun Conlin,3.0 out of 5 stars,Three Stars,It was free,
Gina M. Jones,5.0 out of 5 stars,Very good app!,I love this app because when I watch the network and see a recipe I like I can find it easily under the chefs own section. Thank you Food Network!,
ChristiGrace,5.0 out of 5 stars,Wonderful!,"100's of recipes from many of my favorite food network chefs: Alton Brown, Sunny Anderson, Rachel Ray just to name a few. I would have given this app 5 stars except for the force close issues I've had since the last update. Overall a wonderful app, lots of fabulous recipes for different look by skill levels. A keeper!",
KimKelly,5.0 out of 5 stars,AWESOME,I love anything that involves Food Network. this app gives great access to a lot of the stars and shows that I love.,
Sheila Branam,3.0 out of 5 stars,Overboard Spice...,"Too much fancy, pantsy. Most of us are just plain old people. I've been a country girl all my life. Most of these shows use way too many spices, then you have created something that  has been overpowered with all those spices and you have lost the flavor of the meat. Just sayin'",
Katie Shaw,4.0 out of 5 stars,pretty good app,"It offers a decent amount of info,a little cumbersome to navigate at times but is helpful overall",
David Surwilo,4.0 out of 5 stars,Four Stars,love it.,
AS99,5.0 out of 5 stars,great app,Love the recipes. Love the reviews. App is easy to use.,
Kindle Customer,5.0 out of 5 stars,great app,One of the best recipe apps out there.,
Brittany Miller`,5.0 out of 5 stars,Five Stars,Love this app.  Too many recipes and so little time,
dhr,3.0 out of 5 stars,Food,The only problem is that I don't have most of the ingredients needed for most of these recipes and I'm not going to buy something that I may only use once or twice.,
Julie,5.0 out of 5 stars,Five Stars,Love Food network and I watch it all the time.,
HYPNOJADE,2.0 out of 5 stars,Not a fan,"Not easy to maneuver thru site. Not much for special diets like gluten free dairy free, etc.Lots of foods i wouldn't eat or don't eat any more.Seriously, a recipe for how to make a hambuger? Or some are assembling not actual cookingI don't like many of the chefs really that i watched...I wont be keeping this free 1 year program.I prefer baking...british baking show fan...",
Maria W. Dymon,5.0 out of 5 stars,Great app,"Great app I love it.  Very well organized. I love the recipes, in fact I already cook few meals from it. I love the recipies and chefs.",
Kindle Customer,5.0 out of 5 stars,as good as the tv channel,This app is super easy to navigate. It is easy to look up recipes by each network star. Also you can easily save the recipes and also create grocery lists. There is no down side...just try it since it is free...and you will see how good it is.,
Spone63,1.0 out of 5 stars,Firestick Free Kitchen doesn't work cannot access,It doesn't work I cannot get past the OTP I received my OTP 4 times and yet I can't get past the sign in. Free my ass need help but of course whom do you call. Amazon doesn't allow you to access customer service,
marir,5.0 out of 5 stars,Five Stars,love it,
Linda Gisel,3.0 out of 5 stars,you need to be able to make...,You need to enable in app purchases or this app will not work.  If I want to make a purchase I will enable that WHEN I want to!  I am a great cook so I deleted the app even though it did look interesting and would have been fun to explore!,
Rita - Amazon Customer,5.0 out of 5 stars,Besst app for cooking & knowledge,"My favorite app, especially during this pandemic. I love to cook. Love the classes & videos!!",
Vickie Rechterman,5.0 out of 5 stars,Five Stars,Love it,
Marie Pellecchia,3.0 out of 5 stars,Foodies' Resource,This app is great when it works well and I am able to access the chosen chef.  The recipes are useful and easy to follow.  An excellent resource for all styles of cooking.,
j. c.,1.0 out of 5 stars,good idea but waste of time.,Won't stay open...goes thru a cycle then closes....junk.,
Dorna Blake,5.0 out of 5 stars,Amazing and very useful useful collection of recipes,"Amazing and very useful useful collection of recipes. I intend to take full advantage of this offer. For those who are still stalling, I say, ""Go for it!""",
Tammy Kemp,5.0 out of 5 stars,Great Company,Love the recipes and ease of app. Thanks!,
Gk,5.0 out of 5 stars,WOW!,"What alot of GREAT chiefs here! , the likes of Anna Burell and Simomand a slew of others. And alot of great recipes too.This is a keeper.thanks,Zm",
Nohbody007,5.0 out of 5 stars,food network,I love lotions reshipys,
Edie Warren,5.0 out of 5 stars,Five Stars,A++++++++++++,
yeliz,5.0 out of 5 stars,I love cooking soooooo much and this makes my cooking skills even better ðŸ˜�ðŸ˜�ðŸ˜�ðŸ˜�ðŸ˜�ðŸ˜�ðŸ˜�ðŸ˜�ðŸ˜�ðŸ˜�ðŸ˜�,If you want a cooking vids check out this its really good,
Darlene Ivey,4.0 out of 5 stars,Convient,Food network has always been one of my go to for recipes.  I like experimenting and finding new recipes and when I do you can save them and have them at your fingertips.,
smax,4.0 out of 5 stars,Four Stars,Fun to use.,
Linda,5.0 out of 5 stars,Five Stars,love to  cook,
F Hand,4.0 out of 5 stars,Very good for beginner to intermediate cooks.,A decent variety of menu items. A little heavy on the easy recipes. I'd like a bit more challenge.,
Sandy T.,4.0 out of 5 stars,"Love, Love, Love!",Great way to have quick access to Food Network recipes!  Love it.,
margi lockwood,5.0 out of 5 stars,food network is awesome,It is very helpful when you can't think of something different to make love it.My favorite chefs are on this site,
Sheryl L. Lowery,5.0 out of 5 stars,cool app,"I haven't had a chance to thoroughly explore. But I love the way the recipes are organized, and having my own recipe box is wonderful. There are some great ideas here and I can't wait to explore some more.",
C. Richards,5.0 out of 5 stars,The best of Food Network,I love having these great recipes at my fingertips.  It's so easy to take my Kindle with me to the store and purchase the ingredients I need without having to write a thing down.  Love it!,
Stace,5.0 out of 5 stars,couldn't ask for more!,This is a great app! One of my favorites! Thanks Food!!,
lenny2309,5.0 out of 5 stars,henry,I love the food network app it's very helpful I get to learn knew recipes with just a tap I love it and there is different different styles and ways to cook I have never seen anything so brilliant and beautiful. The amount of work and passion that goes into these recipes is really inspiring and I hope to be just like the chefs on this app then I will have others looking at my recipes. I just think though there could be more breakfast recipes on here fast and ones for people that got to get up early and leave for school in the morning I mean I'm just saying. Thank you for making this app for those who love to cook and for those who want to learn more recipes. I'm really happy that the food network is expanding.,
Avid reader,5.0 out of 5 stars,Good Cooking,Good usable information.,
Vivarant,5.0 out of 5 stars,Thank You Amazon For The Free Subscription!,Amazon rocks and so does Food Network! I love Food Network but haven't been able to watch it as I haven't had cable in years. It was so wonderful to be gifted a year's subscription from Amazon. And the yearly subscription is reasonably priced so I'm sure i will be keeping it after my year expires provided the price doesn't go up.Sometimes the app is a slow to load but that could be my internet who knows... But overall I'm happy to have access to food network shows again. Even if they are older episodes. In fact that's a bonus because I get to see some of my favorite FN Celebs who aren't on anymore.,
iay42,4.0 out of 5 stars,Turkey burger,Best part was the turkey Berger recipie that I needed that was luck .can't wait to make it it looks good on the picture,
Daniel Lopez,2.0 out of 5 stars,Nothing Impressive,There is so much content available through other free sites such as YouTube that there is no need to pay for such an app at this. This Food Network App offers nothing interesting nor worth the fee.,
Kevin,5.0 out of 5 stars,Open's idea's,"I especially like the Sandra Dee quick mix recipes, you can make realgood food usually in a quick time frame.",
Pam the Goatherd,5.0 out of 5 stars,Haven't been disappointed yet!,I find myself searching through this app several times a week for inspiration on what to fix for dinner.  Haven't been disappointed yet!,
Like2Eat,4.0 out of 5 stars,Food Network App,"I love this app! Whether using it on my kindle fire or iphone, a recipe is never far from my fingertips. It is easy to use and search for recipes. I only wish it had a recipe builder where I could enter several ingredients I have on hand and have some recipe possibilities come up.",
Richard Scherrep,5.0 out of 5 stars,Five Stars,love this app,
Kindle Customerjm,5.0 out of 5 stars,I think it is great. Since I love to cook it is a ...,I think it is great. Since I love to cook it is a wonderful app. Thanks so much Jo Messina,
mama32,5.0 out of 5 stars,great app,"So many great recipes. I wish there was a way to make separate folders in the recipe box, but it is minor. Love it!",
Roxanne,5.0 out of 5 stars,Five Stars,My go to for recipes and techniques..always.,
Elizabeth Rodgers,5.0 out of 5 stars,A worthwhile purchase,"I love this magazine! I finally bit the bullet and bought a subscription. I would consider myself a beginner to maybe intermediate cook, and there are tons of amazing recipes in here that I can actually cook! I hate recipes with obscure ingredients or when you need some weird kitchen instrument that most people do not have. This magazine really has none of that, the basic home cook will find plenty of new dinner ideas.",
Pookies lady,4.0 out of 5 stars,Larger print,I like the app. I wish that the font was bigger. We older generation have a difficult time reading small print. Once I found out how to move around the site it was ok. Wish there was more.,
Pat Dobbins,5.0 out of 5 stars,"Real food, fresh ideas.",I love the channel and this app very much helps me keep up with my favorite shows and has great recipes.,
Amazon Customer,5.0 out of 5 stars,great,wonderful . feels like I'm on the shows.  cooking genius.  u should try it. love love love love. just love the recipes,
alan campo,5.0 out of 5 stars,Five Stars,Very enjoyable and helpful app.,
Michelle,4.0 out of 5 stars,useful,I always see things I'd like to try but never go looking for it on the website. This app makes it so much easier!,
Cowboyfit,5.0 out of 5 stars,Works well,My wife got it and rarely uses it.,
nikki j,5.0 out of 5 stars,great app,This app is really great and super easy to use . Searching for and saving recipes are as easy as navigating the website,
Gary L.,5.0 out of 5 stars,Food!!,My favorite Chefs and recipes are just a touch away!!,
Becky,5.0 out of 5 stars,love tge app,Tired of racking my brain for meals to feed my family this app helps with that,
Amazon Customer,5.0 out of 5 stars,food Network in the kitchen,I love just about anything that has the Food Network brand name on it.  And this app didn't disappoint me.,
Reneenaynay,5.0 out of 5 stars,"If you love the channel, you'll love te app!","Excellent. Whenever I want to try something new, I just search it and choose the best looking. My favorite part is being able to access the recipes from the shows and add everything to my shopping list. I highly recommend this app!",
jawatom42,5.0 out of 5 stars,whats for dinner?....If you are looking for good ideas use this app,If dinner or any occasion needs a idea or just a different spin on a old favorite this will more than satisfy.  A novice or a seasoned vet this app will benefit you.,
Barbara V. Whiten,5.0 out of 5 stars,Five Stars,I love Food Network recipes,
rad,4.0 out of 5 stars,... have only used it once but thought it was great.,I have only used it once but thought it was great.,
s.ansel,4.0 out of 5 stars,great app,"I absolutely love this, and I would recommend it to anyone who loves to cook.  Great demonstration videos..  only wish they would post recipe nutritional information too.",
Amazon Customer,5.0 out of 5 stars,Five Stars,Good,
mamawruth,5.0 out of 5 stars,Wow!!!!!,"I love, love it. All my favorite chiefs at my finger tips.  Thank you.",
Dinkydoright,5.0 out of 5 stars,Food Network Kitchen the App,"I wasn't sure if this app would be fun and useful. It's proved to be both. I got it free for having a Toshiba Fire television. That makes it even better, though I expect to renew in a year if this app is still useful to me.",
Cheryl T.,5.0 out of 5 stars,love it,Very helpful when you need a last minute idea! I also see several different recipes for the same thing then you can personalize your dish your way.,
Rolando Cornejo,4.0 out of 5 stars,Great App,Excellent App. Many recipes good and healthy.,
BPAYNE,2.0 out of 5 stars,Two Stars,Recipes and content are not up to date on this app.,
michael,4.0 out of 5 stars,great app,"Every now and then the app will shut down but I just re start it and continue. I use the app multiple time a week. My wife and I love the food network, the FN magazine and the app. I recommend this app",
reader,5.0 out of 5 stars,Five Stars,Love this app,
marsha tonelli,3.0 out of 5 stars,being a chef she should know a lot of salt is not good for you,"Think Anne Burrell uses way to much salt, being a chef she should know a lot of salt is not good for you.",
Niki,5.0 out of 5 stars,Five Stars,Have cooked a lot of thing off here,
Amazon Customer Susie,4.0 out of 5 stars,Good app for recipes,I really like this app. I can find a good recipe for just about anything I type in the search bar. Just type in an ingredient and search and you get tons of recipes. I have used only a couple but they were very good. Most of them are very easy to follow and don't take much time to get ready.,
Valerie Pearsall,5.0 out of 5 stars,A must have!,I like access to cooking classes and fantastic recipes!,
David,5.0 out of 5 stars,Great App,Perfect for those quick reference and new idea needs. Works great on I phone.,
James L. Mccoleman,5.0 out of 5 stars,Five Stars,A good source to replace many of my cook books.,
B. Ensley,5.0 out of 5 stars,love it,"Love it I used it the first day I got it, the recipes are great but would like more pictures",
GeorgieGirl,5.0 out of 5 stars,GREAT APP!,This app is now working wonderfully on my Kindle Fire HD.  I love the layout and the ease of the app. Thank you!,
love to walk,4.0 out of 5 stars,Four Stars,Good place to get new & different recipes,
Tonya Mackey,4.0 out of 5 stars,Nice App,"I love having access to my favorite recipes, along with the ability to create an instant shopping list. My only wish would be the ability to adjust the recipe (or at least the shopping list) up or down, based on the desired serving size.",
marilyn wakeland,5.0 out of 5 stars,recipes very good,Love this site. Everything very clear.,
Theresa Haus,5.0 out of 5 stars,Five Stars,Enjoy food network,
Nanci Luna,5.0 out of 5 stars,I love the show with all the interaction of the chefs,I love the show with all the interaction of the chefs.  It is always interesting to watch and see what they have or have not planned as it happenes.,
Jen,4.0 out of 5 stars,Good but could be better,I really wish that there were more recipes that did not repeat. However it is very convenient to have when I'm in the kitchen cooking.,
smm,5.0 out of 5 stars,great,"I really love this app and I am only 12 and hope to keep cooking and this app has so many cool recipes, some are typed out and some are in video",
Kristi Maust,5.0 out of 5 stars,1 Great app.,If you like Food Network or just like to try new recipes this is a great app to have. There are so many taste recipes and they are easy to find. If you have a favorite Food Network star just tap their picture and away you go.,
justsomehomeschooledkid,5.0 out of 5 stars,Simply Amazing,"This app is very easy to use, helpful and has some of my favorites chefs on it. What's not to like? It does everything it set out to do. No reason to be nit-picky.",
mama_bear,4.0 out of 5 stars,love this app!!!,I really love using this app. I wish Paula Deen  was s one of the chefs on this app though. It would be nice to be able to use her recipes.,
Karen Holliman,5.0 out of 5 stars,Five Stars,Very helpful in time of need for meals,
Tongelar Everett,4.0 out of 5 stars,great for finding new things to make.,This app is good for people that want to learn how to cook or people that just wants to make some thing new.,
Kindle Customer,4.0 out of 5 stars,Four Stars,love,
keng,2.0 out of 5 stars,Not for everyone.,"Positives: It gives you choices to filter recipes like : a favorite chef, type of recipe, time to prepare and difficulty level.Negatives: If you don't have good vision there is no way. to enlarge the printing. Not all recipes have photos.",
Mark Gilbertson,1.0 out of 5 stars,My fault. Thought it would be more than recipes ...,My fault.  Thought it would be more than recipes.,
Amazon Customer,4.0 out of 5 stars,recipes at your fingertip,I love that I can open this app at the store and not have to write the recipe down and keep up with paper in the store and I also use it in the classroom for my kids in math.,
lori,5.0 out of 5 stars,FOR SOMEONE LIKE ME WHO LOVES TO COOK,"AWSOME ,FOR SOMEONE LIKE ME WHO LOVES TO COOK.",
Phyllis Quinn,5.0 out of 5 stars,Very good,Informative,
D. Martin,4.0 out of 5 stars,great app,Great app. Good variety of recipes from well known chefs. It has simple as well as more difficult recipes. Works well on my kindle fire.,
Beverly Smith,4.0 out of 5 stars,good app,This has really help me out. Lots of great recipes.,
Shar,4.0 out of 5 stars,Food network chef tested recipies,I love all the recipes and cannot wait to try many of them.  The variety of recipes is great and knowing that great chesfs have created them gives me confidence that they will taste wonderful.,
Eric Detmers,5.0 out of 5 stars,food in the kitchen,Great app ! Lots of different recipes and ideas.,
Jean,2.0 out of 5 stars,Won't load year subscription for free,Got the app on kindle fire but won't let me have the free year subscription.  I push the button for free year subscription and it just keeps trying and nothing happens.,
Kari L. Onyango,4.0 out of 5 stars,great app since I love the food channel,This app is easy to navigate and is a great help when I need a great recipe.,
